"Date","Price","Open","High","Low","Vol.","Change %"
"01/28/2022","23.97","23.19","24.43","22.16","12.32M","2.22%"
"01/27/2022","23.45","25.26","25.33","23.38","9.71M","-6.54%"
"01/26/2022","25.09","26.38","26.60","24.90","8.10M","-1.34%"
"01/25/2022","25.43","26.79","26.79","25.14","9.72M","-6.75%"
"01/24/2022","27.27","26.70","27.40","25.53","10.46M","-2.26%"
"01/21/2022","27.90","28.85","28.98","27.68","6.09M","-4.35%"
"01/20/2022","29.17","30.22","30.51","29.11","7.14M","-0.31%"
"01/19/2022","29.26","30.57","30.74","29.25","6.16M","-3.97%"
"01/18/2022","30.47","30.63","31.97","30.31","7.46M","-2.12%"
"01/14/2022","31.13","30.96","31.44","30.03","6.02M","1.17%"
"01/13/2022","30.77","30.58","31.68","30.50","7.60M","0.07%"
"01/12/2022","30.75","30.40","31.19","29.98","11.44M","3.15%"
"01/11/2022","29.81","27.75","29.90","27.51","9.19M","8.24%"
"01/10/2022","27.54","29.18","29.18","27.01","8.05M","-5.62%"
"01/07/2022","29.18","28.58","29.68","28.20","8.86M","2.82%"
"01/06/2022","28.38","29.25","29.63","28.24","10.13M","-2.71%"
"01/05/2022","29.17","29.50","30.56","29.14","6.35M","-3.82%"
"01/04/2022","30.33","32.16","32.17","29.37","8.16M","-6.22%"
"01/03/2022","32.34","33.02","33.76","31.35","7.17M","0.75%"
"12/31/2021","32.10","31.83","32.90","31.50","8.05M","0.47%"
"12/30/2021","31.95","29.10","32.32","29.01","11.74M","8.60%"
"12/29/2021","29.42","29.84","30.18","28.53","5.17M","-1.41%"
"12/28/2021","29.84","29.98","30.28","29.69","3.36M","-0.20%"
"12/27/2021","29.90","30.28","30.98","29.38","4.73M","-1.71%"
"12/23/2021","30.42","30.05","30.74","29.78","4.18M","0.07%"
"12/22/2021","30.40","29.72","30.44","29.51","6.19M","1.43%"
"12/21/2021","29.97","28.84","30.16","28.61","8.39M","6.09%"
"12/20/2021","28.25","28.62","29.06","27.53","7.90M","-5.64%"
"12/17/2021","29.94","29.08","30.29","27.95","9.50M","-0.17%"
"12/16/2021","29.99","31.18","31.18","29.68","6.31M","-1.48%"
"12/15/2021","30.44","30.63","30.87","29.13","9.24M","-2.00%"
"12/14/2021","31.06","30.43","31.35","30.34","8.05M","-0.96%"
"12/13/2021","31.36","32.50","32.50","30.39","10.52M","-3.39%"
"12/10/2021","32.46","31.12","32.86","31.12","11.64M","4.41%"
"12/09/2021","31.09","31.50","32.75","30.84","6.08M","-1.58%"
"12/08/2021","31.59","31.03","31.97","30.36","5.33M","2.10%"
"12/07/2021","30.94","31.65","32.23","30.34","10.11M","1.41%"
"12/06/2021","30.51","29.58","30.64","27.77","18.11M","7.05%"
"12/03/2021","28.50","33.00","33.20","27.73","30.39M","-15.95%"
"12/02/2021","33.91","35.56","36.35","31.94","14.14M","-3.39%"
"12/01/2021","35.10","36.91","37.45","34.98","19.48M","-0.96%"
"11/30/2021","35.44","34.42","36.26","33.54","17.98M","2.78%"
"11/29/2021","34.48","34.72","36.00","34.08","26.49M","6.42%"
"11/26/2021","32.40","31.31","32.78","30.89","6.89M","-0.67%"
"11/24/2021","32.62","31.66","33.06","31.22","7.28M","2.77%"
"11/23/2021","31.74","31.50","33.93","31.00","11.14M","1.76%"
"11/22/2021","31.19","30.90","32.35","30.79","10.51M","1.93%"
"11/19/2021","30.60","31.00","31.20","30.12","5.68M","-1.23%"
"11/18/2021","30.98","32.23","32.64","30.08","7.75M","-3.73%"
"11/17/2021","32.18","32.41","32.90","31.86","6.60M","-1.77%"
"11/16/2021","32.76","30.36","32.96","30.12","14.12M","9.75%"
"11/15/2021","29.85","30.20","30.41","29.68","5.54M","-1.81%"
"11/12/2021","30.40","31.35","31.35","29.95","7.44M","-0.78%"
"11/11/2021","30.64","30.20","30.95","30.01","7.53M","3.37%"
"11/10/2021","29.64","29.40","30.40","29.36","6.54M","-1.13%"
"11/09/2021","29.98","31.53","31.62","29.73","7.96M","-4.37%"
"11/08/2021","31.35","30.99","32.07","30.83","6.21M","1.13%"
"11/05/2021","31.00","32.10","32.25","30.35","4.93M","-3.00%"
"11/04/2021","31.96","31.64","32.42","31.33","5.62M","3.23%"
"11/03/2021","30.96","31.34","31.34","30.57","4.43M","-0.74%"
"11/02/2021","31.19","31.80","32.44","30.73","8.41M","-3.56%"
"11/01/2021","32.34","32.56","33.35","31.91","6.41M","-0.89%"
"10/29/2021","32.63","33.06","33.59","32.45","3.99M","-2.33%"
"10/28/2021","33.41","33.34","33.85","32.80","6.12M","2.27%"
"10/27/2021","32.67","33.00","34.01","32.53","6.14M","-1.24%"
"10/26/2021","33.08","33.96","34.83","32.83","10.09M","-3.42%"
"10/25/2021","34.25","32.66","34.45","32.27","13.22M","6.07%"
"10/22/2021","32.29","32.00","32.88","31.78","10.55M","0.78%"
"10/21/2021","32.04","30.88","32.44","30.82","7.72M","2.63%"
"10/20/2021","31.22","30.85","31.61","30.85","4.78M","0.32%"
"10/19/2021","31.12","30.82","31.74","30.63","7.51M","2.27%"
"10/18/2021","30.43","30.07","30.75","30.00","7.16M","-0.69%"
"10/15/2021","30.64","29.87","31.06","29.32","10.50M","4.04%"
"10/14/2021","29.45","29.00","29.47","28.55","7.55M","2.65%"
"10/13/2021","28.69","28.10","28.78","28.00","4.67M","2.35%"
